publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
2023-05-09T01:11:05Z,Solihin Muhammad,Anti Banteng,0;;;;;;;;;
2023-05-09T00:42:59Z,Wayan Mayun,Klu 3 capres udah pasti <br>Klu 4 masih ragu<br>Kan hrs sesuai ketentuan dan suara parpol di senayan dan suara parpol di pemilu sebelum nya,0;;;;;;;;;
"2023-05-09T00:37:13Z,Ruttencia Tampoli,""Torang PRABOWO. Sangat jelas sekali dengan kontribusi bapak. Indonesia Maju, Indonesia Kuat💪🏻💪🏻💪🏻"",0";;;;;;;;;
2023-05-08T22:38:56Z,Erik Perdana,Pdip anjir jgn smpe partai ini berkuasa lagi 🫣,1;;;;;;;;;
"2023-05-08T22:11:55Z,FaizBauketek,""Menurut gue yang penting bukan yang mabok agama, NAJIS banget menang modal se agama"",0";;;;;;;;;
"2023-05-08T19:29:06Z,Mimih Abi,""Padahal ma banteng nggak butuh suara umat islam tapi ppp merapat ke PDIP kalau nggak merapat PDIP takut di tangkap kpk, makanya jadi pejabat jangan kebanyakan korupsi sama nonton video bokep."",0";;;;;;;;;
"2023-05-08T19:01:12Z,the_rey chanel,""Kalo gak ganjar yah prabowo lah, yg lain cuman tim hore2"",0";;;;;;;;;
2023-05-08T18:28:32Z,Koh Chainalie Chainalie,PPP-Golkar-PAN<br>Prof Mahfud MD-Erik Tohir 👍<br>Presiden  dan wakil Presiden 2024--2029 👍,1;;;;;;;;;
2023-05-08T17:02:57Z,hadi simon,yg penting jgn milih anis<br>Gagal di jakarta jgn sampe terulang,0;;;;;;;;;
2023-05-08T16:43:07Z,Muhammad Muhsin,Kakbah ini aneeh banget ya ? Hati2 PPP bakal jadi PDP3,0;;;;;;;;;
